no,id,title,type,platform,friend_id,country,region,sent_date,received_date,tags,url,friend_url
,RU-8640196,,MATCH,POSTCROSSING,Chubarova,Russia,,4/Aug/2021,29/Aug/2021,,https://www.postcrossing.com/postcards/RU-8640196,https://www.postcrossing.com/user/Chubarova
,RU-8365244,,MATCH,POSTCROSSING,Helligkeit,Russia,,6/Mar/2021,29/Aug/2021,,https://www.postcrossing.com/postcards/RU-8365244,https://www.postcrossing.com/user/Helligkeit
,CNBJ29968,Amy Su 插画,活动,icardyou,咸休,China,北京,8/27/2021 17:28,8/31/2021 12:00,动物 猫 插画,https://icardyou.icu/sendpostcard/postcardDetail/1152815,https://icardyou.icu/userInfo/homePage?userId=39188
,GDTM0022,猫咪云抖,活动,icardyou,A_TIAN,China,广东,8/29/2021 21:53,9/6/2021 11:33,动物 猫 摄影,https://icardyou.icu/sendpostcard/postcardDetail/1152792,https://icardyou.icu/userInfo/homePage?userId=38126
,CNGZ2520,为弄臣加冕,活动,icardyou,大大曾,China,贵州,9/3/2021 10:24,9/6/2021 11:36,乌合麒麟 插画 疫情,https://icardyou.icu/sendpostcard/postcardDetail/1151911,https://icardyou.icu/userInfo/homePage?userId=36964
,CNHN9453,南昌滕王阁,活动,icardyou,Tiann,China,湖南,8/22/2021 15:53,9/10/2021 15:03,景点 南昌 江西 滕王阁,https://icardyou.icu/sendpostcard/postcardDetail/1152186,https://icardyou.icu/userInfo/homePage?userId=30740
,CNGD45134,Jack Sparrow,赠送,icardyou,小王子,China,广东,9/1/2021 23:30,9/10/2021 15:07,电影 加勒比海盗,https://icardyou.icu/sendpostcard/postcardDetail/1152920,https://icardyou.icu/userInfo/homePage?userId=38786
,CNGD45126,埃菲尔铁塔,活动,icardyou,小王子,China,广东,9/1/2021 23:17,9/10/2021 15:10,法国 巴黎 埃菲尔铁塔,https://icardyou.icu/sendpostcard/postcardDetail/1152883,https://icardyou.icu/userInfo/homePage?userId=38786
,CNGD45358-1,儿童画打电话,活动,icardyou,小王子,China,广东,9/6/2021 22:37,9/20/2021 9:39,儿童画,https://icardyou.icu/sendpostcard/postcardDetail/1153915,https://icardyou.icu/userInfo/homePage?userId=38786
,CNGD45358-2,儿童画翻更头,活动,icardyou,小王子,China,广东,9/6/2021 22:37,9/20/2021 9:39,儿童画,https://icardyou.icu/sendpostcard/postcardDetail/1153915,https://icardyou.icu/userInfo/homePage?userId=38786
,TW-3209218,,MATCH,POSTCROSSING,pekoponjin,China,台湾,9/Sep/2021,21/Sep/2021,,https://www.postcrossing.com/postcards/TW-3209218,https://www.postcrossing.com/user/pekoponjin
,SG-360078,,MATCH,POSTCROSSING,xiuxin,Singapore,,9/Sep/2021,4/Oct/2021,,https://www.postcrossing.com/postcards/SG-360078,https://www.postcrossing.com/user/xiuxin
,FNNA0540,深圳生活,活动,icardyou,Johnson,U.S.A.,,9/6/2021 12:43,10/4/2021 20:37,城市 深圳 猫的天空之城,https://icardyou.icu/sendpostcard/postcardDetail/1153779,https://icardyou.icu/userInfo/homePage?userId=32364
,FR-1434438,,MATCH,POSTCROSSING,DanyduPoitou,France,,8/Sep/2021,5/Oct/2021,,https://www.postcrossing.com/postcards/FR-1434438,https://www.postcrossing.com/user/DanyduPoitou
,DE-10879478,,MATCH,POSTCROSSING,elefant45,Germany,,8/Sep/2021,5/Oct/2021,,https://www.postcrossing.com/postcards/DE-10879478,https://www.postcrossing.com/user/elefant45
,DE-10880392,,MATCH,POSTCROSSING,dackelerna,Germany,,9/Sep/2021,5/Oct/2021,,https://www.postcrossing.com/postcards/DE-10880392,https://www.postcrossing.com/user/dackelerna
,RU-8712288,,MATCH,POSTCROSSING,nota_tusya_00,Russia,,9/Sep/2021,5/Oct/2021,,https://www.postcrossing.com/postcards/RU-8712288,https://www.postcrossing.com/user/nota_tusya_00
